hPa,LBL_g1,LBLg_g1,LBLk_g1,LBL_g2,LBLg_g2,LBLk_g2,LBL_g3,LBLg_g3,LBLk_g3,LBL_g4,LBLg_g4,LBLk_g4,LBL_g5,LBLg_g5,LBLk_g5,LBL_g6,LBLg_g6,LBLk_g6,LBL_tot,LBLg_tot,LBLk_tot
0.0,0.026767,0.026767,0.026767,0.085059,0.085059,0.085059,0.341811,0.341811,0.341811,0.516542,0.516542,0.516542,2.899381,2.899381,2.899381,110.004941,110.004941,110.004941,113.8745,113.8745,113.8745
0.0006,0.026755,0.026756,0.026756,0.085057,0.085057,0.085057,0.341811,0.341811,0.34181,0.516542,0.516542,0.516542,2.899381,2.899381,2.899381,110.004941,110.004941,110.004941,113.87449,113.87449,113.87449
0.0009,0.02675,0.026751,0.026751,0.085056,0.085056,0.085056,0.34181,0.34181,0.34181,0.516542,0.516542,0.516542,2.899381,2.899381,2.899381,110.004941,110.004941,110.004941,113.87448,113.87448,113.87448
0.0012,0.026743,0.026745,0.026745,0.085055,0.085055,0.085055,0.34181,0.34181,0.34181,0.516542,0.516542,0.516542,2.899381,2.899381,2.899381,110.004941,110.004941,110.004941,113.87447,113.87447,113.87447
0.0017,0.026733,0.026736,0.026736,0.085053,0.085054,0.085054,0.34181,0.34181,0.34181,0.516542,0.516542,0.516542,2.899381,2.899381,2.899381,110.00494,110.00494,110.004941,113.87446,113.87446,113.87446
0.0024,0.02672,0.026723,0.026723,0.085051,0.085051,0.085052,0.341809,0.341809,0.341809,0.516542,0.516542,0.516542,2.899381,2.899381,2.899381,110.00494,110.00494,110.004941,113.87444,113.87445,113.87445
0.0034,0.026701,0.026706,0.026706,0.085048,0.085049,0.085049,0.341808,0.341808,0.341808,0.516542,0.516542,0.516542,2.899381,2.899381,2.899381,110.00494,110.00494,110.00494,113.87442,113.87442,113.87443
0.0048,0.026675,0.026681,0.026681,0.085043,0.085044,0.085045,0.341807,0.341807,0.341807,0.516542,0.516542,0.516542,2.89938,2.899381,2.899381,110.00494,110.00494,110.00494,113.87439,113.87439,113.8744
0.0067,0.026638,0.026647,0.026647,0.085037,0.085039,0.085039,0.341805,0.341806,0.341805,0.516542,0.516542,0.516542,2.89938,2.89938,2.899381,110.004939,110.00494,110.00494,113.87434,113.87435,113.87435
0.0094,0.026587,0.026599,0.026599,0.085028,0.08503,0.085031,0.341802,0.341803,0.341803,0.516542,0.516542,0.516542,2.89938,2.89938,2.899381,110.004939,110.004939,110.004939,113.87428,113.87429,113.87429
