hPa,LBL_g1,LBLg_g1,LBLk_g1,LBL_g2,LBLg_g2,LBLk_g2,LBL_g3,LBLg_g3,LBLk_g3,LBL_g4,LBLg_g4,LBLk_g4,LBL_g5,LBLg_g5,LBLk_g5,LBL_g6,LBLg_g6,LBLk_g6,LBL_g7,LBLg_g7,LBLk_g7,LBL_g8,LBLg_g8,LBLk_g8,LBL_g9,LBLg_g9,LBLk_g9,LBL_g10,LBLg_g10,LBLk_g10,LBL_tot,LBLg_tot,LBLk_tot
0.0,0.367281,0.367281,0.367281,1.729163,1.729163,1.729163,7.092437,7.092437,7.092437,20.399773,20.399773,20.399773,16.044249,16.044249,16.044249,21.209734,21.209734,21.209734,25.28237,25.28237,25.28237,29.884206,29.884206,29.884206,32.419361,32.419361,32.419361,287.991176,287.991176,287.991176,442.41975,442.41975,442.41975
0.0006,0.367281,0.367281,0.367281,1.729163,1.729163,1.729163,7.092437,7.092437,7.092437,20.399773,20.399773,20.399773,16.044249,16.044249,16.044249,21.209734,21.209734,21.209734,25.28237,25.28237,25.28237,29.884206,29.884206,29.884206,32.419361,32.419361,32.419361,287.991176,287.991176,287.991176,442.41975,442.41975,442.41975
0.0009,0.367281,0.367281,0.367281,1.729163,1.729163,1.729163,7.092437,7.092437,7.092437,20.399773,20.399773,20.399773,16.044249,16.044249,16.044249,21.209734,21.209734,21.209734,25.28237,25.28237,25.28237,29.884206,29.884206,29.884206,32.419361,32.419361,32.419361,287.991176,287.991176,287.991176,442.41975,442.41975,442.41975
0.0012,0.36728,0.36728,0.36728,1.729163,1.729163,1.729163,7.092437,7.092437,7.092437,20.399773,20.399773,20.399773,16.044249,16.044249,16.044249,21.209734,21.209734,21.209734,25.28237,25.28237,25.28237,29.884206,29.884206,29.884206,32.419361,32.419361,32.419361,287.991176,287.991176,287.991176,442.41975,442.41975,442.41975
0.0017,0.36728,0.36728,0.36728,1.729163,1.729163,1.729163,7.092437,7.092437,7.092437,20.399773,20.399773,20.399773,16.044249,16.044249,16.044249,21.209733,21.209734,21.209734,25.28237,25.28237,25.28237,29.884206,29.884206,29.884206,32.419361,32.419361,32.419361,287.991176,287.991176,287.991176,442.41975,442.41975,442.41975
0.0024,0.36728,0.36728,0.36728,1.729163,1.729163,1.729163,7.092437,7.092437,7.092437,20.399773,20.399773,20.399773,16.044249,16.044249,16.044249,21.209733,21.209733,21.209734,25.28237,25.28237,25.28237,29.884206,29.884206,29.884206,32.419361,32.419361,32.419361,287.991176,287.991176,287.991176,442.41975,442.41975,442.41975
0.0034,0.367279,0.36728,0.36728,1.729163,1.729163,1.729162,7.092437,7.092437,7.092437,20.399773,20.399773,20.399773,16.044249,16.044249,16.044249,21.209733,21.209733,21.209734,25.28237,25.28237,25.28237,29.884206,29.884206,29.884206,32.419361,32.419361,32.419361,287.991176,287.991176,287.991176,442.41975,442.41975,442.41975
0.0048,0.367279,0.367279,0.367279,1.729162,1.729162,1.729162,7.092437,7.092437,7.092437,20.399773,20.399773,20.399773,16.044249,16.044249,16.044249,21.209733,21.209733,21.209734,25.28237,25.28237,25.28237,29.884206,29.884206,29.884206,32.419361,32.419361,32.419361,287.991176,287.991176,287.991176,442.41975,442.41975,442.41975
0.0067,0.367278,0.367278,0.367278,1.729162,1.729162,1.729162,7.092437,7.092437,7.092437,20.399773,20.399773,20.399773,16.044249,16.044249,16.044249,21.209733,21.209733,21.209734,25.28237,25.28237,25.28237,29.884206,29.884206,29.884206,32.419361,32.419361,32.419361,287.991176,287.991176,287.991176,442.41974,442.41975,442.41975
0.0094,0.367277,0.367277,0.367277,1.729162,1.729162,1.729162,7.092437,7.092437,7.092436,20.399773,20.399773,20.399773,16.044249,16.044249,16.044249,21.209733,21.209733,21.209734,25.28237,25.28237,25.28237,29.884206,29.884206,29.884206,32.419361,32.419361,32.419361,287.991176,287.991176,287.991176,442.41974,442.41974,442.41974
0.0131,0.367275,0.367275,0.367275,1.729161,1.729161,1.729161,7.092436,7.092437,7.092436,20.399773,20.399773,20.399773,16.044249,16.044249,16.044249,21.209733,21.209733,21.209734,25.28237,25.28237,25.28237,29.884206,29.884206,29.884206,32.419361,32.419361,32.419361,287.991176,287.991176,287.991176,442.41974,442.41974,442.41974
0.0184,0.367273,0.367273,0.367273,1.72916,1.72916,1.72916,7.092436,7.092436,7.092436,20.399773,20.399773,20.399773,16.044249,16.044249,16.044249,21.209733,21.209733,21.209734,25.28237,25.28237,25.28237,29.884206,29.884206,29.884206,32.419361,32.419361,32.419361,287.991176,287.991176,287.991176,442.41974,442.41974,442.41974
