hPa,LBL_g1,LBLk_g1,PAR_g1,LBL_g2,LBLk_g2,PAR_g2,LBL_g3,LBLk_g3,PAR_g3,LBL_g4,LBLk_g4,PAR_g4,LBL_g5,LBLk_g5,PAR_g5,LBL_g6,LBLk_g6,PAR_g6,LBL_g7,LBLk_g7,PAR_g7,LBL_g8,LBLk_g8,PAR_g8,LBL_g9,LBLk_g9,PAR_g9,LBL_g10,LBLk_g10,PAR_g10,LBL_tot,LBLk_tot,PAR_tot,LBLk - LBL,PAR - LBL
0.0,0.18364,0.18364,0.18364,0.8645799999999999,0.8645799999999999,0.8645799999999999,3.54622,3.54622,3.54622,10.19989,10.19989,10.19989,8.02213,8.02213,8.02212,10.60487,10.60487,10.60487,12.64119,12.64119,12.64119,14.9421,14.9421,14.9421,16.20968,16.20968,16.20968,143.99559,143.99559,143.99558000000002,221.20987000000002,221.20987999999997,221.20987000000002,1e-05,0.0
0.0006,0.18364,0.18364,0.18364,0.8645799999999999,0.8645799999999999,0.8645799999999999,3.54622,3.54622,3.54622,10.19989,10.19989,10.19989,8.02213,8.02213,8.02212,10.60487,10.60487,10.60487,12.64119,12.64119,12.64119,14.9421,14.9421,14.9421,16.20968,16.20968,16.20968,143.99559,143.99559,143.99558000000002,221.20987000000002,221.20987999999997,221.20987000000002,1e-05,0.0
0.0009,0.18364,0.18364,0.18364,0.8645799999999999,0.8645799999999999,0.8645799999999999,3.54622,3.54622,3.54622,10.19989,10.19989,10.19989,8.02213,8.02213,8.02212,10.60487,10.60487,10.60487,12.64119,12.64119,12.64119,14.9421,14.9421,14.9421,16.20968,16.20968,16.20968,143.99559,143.99559,143.99558000000002,221.20987000000002,221.20987999999997,221.20987000000002,1e-05,0.0
0.0012,0.18364,0.18364,0.18364,0.8645799999999999,0.8645799999999999,0.8645799999999999,3.54622,3.54622,3.54622,10.19989,10.19989,10.19989,8.02213,8.02213,8.02212,10.60487,10.60487,10.60487,12.64119,12.64119,12.64119,14.9421,14.9421,14.9421,16.20968,16.20968,16.20968,143.99559,143.99559,143.99558000000002,221.20987000000002,221.20987999999997,221.20987000000002,1e-05,0.0
0.0017,0.18364,0.18364,0.18364,0.8645799999999999,0.8645799999999999,0.8645799999999999,3.54622,3.54622,3.54622,10.19989,10.19989,10.19989,8.02213,8.02213,8.02212,10.60487,10.60487,10.60487,12.64119,12.64119,12.64119,14.9421,14.9421,14.9421,16.20968,16.20968,16.20968,143.99559,143.99559,143.99558000000002,221.20987000000002,221.20987999999997,221.20987000000002,1e-05,0.0
0.0024,0.18364,0.18364,0.18364,0.8645799999999999,0.8645799999999999,0.8645799999999999,3.54622,3.54622,3.54622,10.19989,10.19989,10.19989,8.02213,8.02213,8.02212,10.60487,10.60487,10.60487,12.64119,12.64119,12.64119,14.9421,14.9421,14.9421,16.20968,16.20968,16.20968,143.99559,143.99559,143.99558000000002,221.20987000000002,221.20987999999997,221.20987000000002,1e-05,0.0
0.0034,0.18364,0.18364,0.18364,0.8645799999999999,0.8645799999999999,0.8645799999999999,3.54622,3.54622,3.54622,10.19989,10.19989,10.19989,8.02213,8.02213,8.02212,10.60487,10.60487,10.60487,12.64119,12.64119,12.64119,14.9421,14.9421,14.9421,16.20968,16.20968,16.20968,143.99559,143.99559,143.99558000000002,221.20987000000002,221.20987999999997,221.20987000000002,1e-05,0.0
0.0048,0.18364,0.18364,0.18364,0.8645799999999999,0.8645799999999999,0.8645799999999999,3.54622,3.54622,3.54622,10.19989,10.19989,10.19989,8.02213,8.02213,8.02212,10.60487,10.60487,10.60487,12.64119,12.64119,12.64119,14.9421,14.9421,14.9421,16.20968,16.20968,16.20968,143.99559,143.99559,143.99558000000002,221.20987000000002,221.20987000000002,221.20987000000002,0.0,0.0
0.0067,0.18364,0.18364,0.18364,0.8645799999999999,0.8645799999999999,0.8645799999999999,3.54622,3.54622,3.54622,10.19989,10.19989,10.19989,8.02213,8.02213,8.02212,10.60487,10.60487,10.60487,12.64119,12.64119,12.64119,14.9421,14.9421,14.9421,16.20968,16.20968,16.20968,143.99559,143.99559,143.99558000000002,221.20987000000002,221.20987000000002,221.20987000000002,0.0,0.0
0.0094,0.18364,0.18364,0.18364,0.8645799999999999,0.8645799999999999,0.8645799999999999,3.54622,3.54622,3.54622,10.19989,10.19989,10.19989,8.02213,8.02213,8.02212,10.60487,10.60487,10.60487,12.64119,12.64119,12.64119,14.9421,14.9421,14.9421,16.20968,16.20968,16.20968,143.99559,143.99559,143.99558000000002,221.20987000000002,221.20987000000002,221.20987000000002,0.0,0.0
