,hPa,LBL_g1,LBLk_g1,PAR_g1,LBL_g2,LBLk_g2,PAR_g2,LBL_g3,LBLk_g3,PAR_g3,LBL_g4,LBLk_g4,PAR_g4,LBL_g5,LBLk_g5,PAR_g5,LBL_g6,LBLk_g6,PAR_g6,LBL_g7,LBLk_g7,PAR_g7,LBL_g8,LBLk_g8,PAR_g8,LBL_g9,LBLk_g9,PAR_g9,LBL_g10,LBLk_g10,PAR_g10,LBL_tot,LBLk_tot,PAR_tot,LBLk - LBL,PAR - LBL
0,0.0003,0.00315,0.00303,0.00303,0.00115,0.00106,0.00106,0.00066,0.00041,0.00041,0.00018,0.00011999999999999999,0.00011999999999999999,2.9999999999999997e-05,2e-05,2e-05,2e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0052,0.00466,0.0046700000000000005,-0.00054,-0.00053
1,0.0008,0.00314,0.00303,0.00303,0.00115,0.00106,0.00106,0.00066,0.00041,0.00041,0.00018,0.00011999999999999999,0.00011999999999999999,2.9999999999999997e-05,2e-05,2e-05,2e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0052,0.00466,0.0046700000000000005,-0.00054,-0.00053
2,0.0011,0.00314,0.00302,0.00303,0.00115,0.00106,0.00107,0.00066,0.00041,0.00041,0.00018999999999999998,0.00011999999999999999,0.00011999999999999999,2.9999999999999997e-05,2e-05,2e-05,2e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0052,0.00466,0.0046700000000000005,-0.00054,-0.00053
3,0.0015,0.00314,0.00302,0.00302,0.00115,0.00107,0.00107,0.00066,0.00041,0.00041,0.00018999999999999998,0.00011999999999999999,0.00011999999999999999,2.9999999999999997e-05,2e-05,2e-05,2e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0052,0.00466,0.0046700000000000005,-0.00054,-0.00053
4,0.0021,0.00313,0.00302,0.00302,0.00116,0.00107,0.00107,0.00066,0.00042,0.00042,0.00018999999999999998,0.00011999999999999999,0.00011999999999999999,2.9999999999999997e-05,2e-05,2e-05,2e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0052,0.00466,0.0046700000000000005,-0.00054,-0.00053
5,0.0029,0.00313,0.00302,0.00302,0.00116,0.00107,0.00107,0.00067,0.00042,0.00042,0.00018999999999999998,0.00011999999999999999,0.00011999999999999999,2.9999999999999997e-05,2e-05,2e-05,2e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0052,0.00466,0.0046700000000000005,-0.00054,-0.00053
6,0.0041,0.00313,0.00301,0.00301,0.00116,0.00107,0.00107,0.00067,0.00042,0.00042,0.00018999999999999998,0.00011999999999999999,0.00011999999999999999,2.9999999999999997e-05,2e-05,2e-05,2e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0052,0.00466,0.0046700000000000005,-0.00054,-0.00053
7,0.0057,0.00312,0.00301,0.00301,0.00116,0.00107,0.00107,0.00067,0.00042,0.00042,0.00018999999999999998,0.00011999999999999999,0.00011999999999999999,2.9999999999999997e-05,2e-05,2e-05,2e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0052,0.00466,0.0046700000000000005,-0.00054,-0.00053
8,0.008,0.00312,0.00301,0.00301,0.00116,0.00107,0.00107,0.00067,0.00042,0.00042,0.00018999999999999998,0.00011999999999999999,0.00011999999999999999,2.9999999999999997e-05,2e-05,2e-05,2e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0052,0.00466,0.0046700000000000005,-0.00054,-0.00053
9,0.0112,0.00312,0.003,0.00301,0.00116,0.00108,0.00108,0.00067,0.00042,0.00042,0.00018999999999999998,0.00011999999999999999,0.00011999999999999999,2.9999999999999997e-05,2e-05,2e-05,2e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0052,0.00466,0.0046700000000000005,-0.00054,-0.00053
10,0.0158,0.0031100000000000004,0.003,0.003,0.00117,0.00108,0.00108,0.00067,0.00042,0.00042,0.00018999999999999998,0.00011999999999999999,0.00011999999999999999,2.9999999999999997e-05,2e-05,2e-05,2e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0052,0.00466,0.00466,-0.00054,-0.00053
11,0.0221,0.0031100000000000004,0.003,0.003,0.00117,0.00108,0.00108,0.00067,0.00042,0.00042,0.00018999999999999998,0.00011999999999999999,0.00011999999999999999,2.9999999999999997e-05,2e-05,2e-05,2e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0052,0.00466,0.00466,-0.00054,-0.00053
12,0.031,0.0031100000000000004,0.00299,0.003,0.00117,0.00108,0.00108,0.00067,0.00042,0.00042,0.00018999999999999998,0.00011999999999999999,0.00011999999999999999,2.9999999999999997e-05,2e-05,2e-05,2e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0052,0.00466,0.00466,-0.00054,-0.00053
13,0.0435,0.0031,0.00299,0.00299,0.00117,0.00108,0.00108,0.00067,0.00042,0.00042,0.00018999999999999998,0.00011999999999999999,0.00011999999999999999,2.9999999999999997e-05,2e-05,2e-05,2e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0052,0.00466,0.00466,-0.00054,-0.00053
14,0.0611,0.00309,0.00298,0.00298,0.00118,0.00109,0.00109,0.0006799999999999999,0.00042,0.00042,0.00018999999999999998,0.00011999999999999999,0.00011999999999999999,2.9999999999999997e-05,2e-05,2e-05,2e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0052,0.00466,0.00466,-0.00054,-0.00054
15,0.0856,0.00305,0.00295,0.00295,0.00119,0.0011,0.0011,0.0006799999999999999,0.00043,0.00043,0.0002,0.00013000000000000002,0.00013000000000000002,2.9999999999999997e-05,2e-05,2e-05,2e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0052,0.00465,0.00466,-0.00054,-0.00054
16,0.1201,0.00302,0.0029100000000000003,0.0029100000000000003,0.00121,0.00112,0.00112,0.0006900000000000001,0.00044,0.00044,0.00021,0.00013000000000000002,0.00013000000000000002,2.9999999999999997e-05,2e-05,2e-05,2e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00519,0.00465,0.00465,-0.00055,-0.00054
17,0.1685,0.00298,0.00288,0.00288,0.00123,0.0011300000000000001,0.00114,0.0007,0.00044,0.00044,0.00021,0.00014,0.00014,2.9999999999999997e-05,2e-05,2e-05,2e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00519,0.00464,0.00465,-0.00055,-0.00055
18,0.2364,0.00294,0.0028399999999999996,0.0028399999999999996,0.00124,0.00115,0.00115,0.0007099999999999999,0.00045,0.00045,0.00022,0.00014,0.00014,2.9999999999999997e-05,2.9999999999999997e-05,2.9999999999999997e-05,2e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00519,0.00464,0.00464,-0.00055,-0.00055
19,0.3315,0.0029,0.0028,0.0028,0.00126,0.00117,0.00117,0.00072,0.00045999999999999996,0.00045999999999999996,0.00022999999999999998,0.00014,0.00014,4e-05,2.9999999999999997e-05,2.9999999999999997e-05,2e-05,2e-05,2e-05,1e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00519,0.00463,0.00463,-0.00056,-0.00056
20,0.4651,0.00285,0.0027600000000000003,0.00277,0.00128,0.00118,0.00118,0.00073,0.00045999999999999996,0.00045999999999999996,0.00023999999999999998,0.00015,0.00015,4e-05,2.9999999999999997e-05,2.9999999999999997e-05,2e-05,2e-05,2e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00518,0.00462,0.00463,-0.00056,-0.00056
21,0.6524,0.00281,0.0027300000000000002,0.0027300000000000002,0.0012900000000000001,0.0012,0.0012,0.00075,0.00047000000000000004,0.00047000000000000004,0.00023999999999999998,0.00015,0.00015,4e-05,2.9999999999999997e-05,2.9999999999999997e-05,2e-05,2e-05,2e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00518,0.00461,0.00462,-0.00057,-0.00056
22,0.9151,0.00279,0.00271,0.00271,0.0013,0.0012,0.0012,0.00075,0.00047000000000000004,0.00047999999999999996,0.00025,0.00016,0.00016,4e-05,2.9999999999999997e-05,2.9999999999999997e-05,2e-05,2e-05,2e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00517,0.00461,0.00461,-0.00056,-0.00056
23,1.2836,0.00279,0.0027199999999999998,0.0027199999999999998,0.0012900000000000001,0.0012,0.0012,0.00075,0.00047000000000000004,0.00047000000000000004,0.00025,0.00016,0.00016,4e-05,2.9999999999999997e-05,2.9999999999999997e-05,2e-05,2e-05,2e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0051600000000000005,0.00461,0.00461,-0.00055,-0.00055
24,1.8006,0.0028,0.0027300000000000002,0.0027300000000000002,0.00128,0.00119,0.00119,0.00074,0.00047000000000000004,0.00047000000000000004,0.00023999999999999998,0.00015,0.00015,4e-05,2.9999999999999997e-05,2.9999999999999997e-05,2e-05,2e-05,2e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00515,0.00461,0.00461,-0.00054,-0.00054
25,2.5257,0.0028,0.00275,0.00275,0.0012699999999999999,0.00118,0.00118,0.00073,0.00047000000000000004,0.00047000000000000004,0.00023999999999999998,0.00015,0.00015,4e-05,2.9999999999999997e-05,2.9999999999999997e-05,2e-05,2e-05,2e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00513,0.00461,0.00461,-0.0005200000000000001,-0.0005200000000000001
26,3.5428,0.0028,0.0027600000000000003,0.0027600000000000003,0.00126,0.00117,0.00117,0.00073,0.00047000000000000004,0.00047000000000000004,0.00022999999999999998,0.00015,0.00015,4e-05,2.9999999999999997e-05,2.9999999999999997e-05,2e-05,2e-05,2e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0051,0.00461,0.00461,-0.00049,-0.00049
