hPa,LBL_g1,LBLk_g1,PAR_g1,LBL_g2,LBLk_g2,PAR_g2,LBL_g3,LBLk_g3,PAR_g3,LBL_g4,LBLk_g4,PAR_g4,LBL_g5,LBLk_g5,PAR_g5,LBL_g6,LBLk_g6,PAR_g6,LBL_g7,LBLk_g7,PAR_g7,LBL_g8,LBLk_g8,PAR_g8,LBL_g9,LBLk_g9,PAR_g9,LBL_g10,LBLk_g10,PAR_g10,LBL_tot,LBLk_tot,PAR_tot,LBLk - LBL,PAR - LBL
0.0,0.10142999999999999,0.10142999999999999,0.10142999999999999,0.42844,0.42844,0.42844,1.18259,1.18259,1.18259,2.7795400000000003,2.7795400000000003,2.7795400000000003,6.11816,6.11816,6.11816,10.60078,10.60078,10.60078,11.57747,11.57747,11.57747,10.47557,10.47557,10.47557,10.31748,10.31748,10.31748,60.293040000000005,60.293040000000005,60.29303,113.8745,113.8745,113.8745,0.0,0.0
0.0006,0.10142999999999999,0.10142999999999999,0.10142999999999999,0.42844,0.42844,0.42844,1.18259,1.18259,1.18259,2.7795400000000003,2.7795400000000003,2.7795400000000003,6.11816,6.11816,6.11816,10.60078,10.60078,10.60078,11.57747,11.57747,11.57747,10.47557,10.47557,10.47557,10.31748,10.31748,10.31748,60.293040000000005,60.293040000000005,60.29303,113.87449,113.87449,113.87449,0.0,0.0
0.0009,0.10142999999999999,0.10142999999999999,0.10142999999999999,0.42844,0.42844,0.42844,1.18259,1.18259,1.18259,2.7795400000000003,2.7795400000000003,2.7795400000000003,6.11816,6.11816,6.11816,10.60078,10.60078,10.60078,11.57747,11.57747,11.57747,10.47557,10.47557,10.47557,10.31748,10.31748,10.31748,60.293040000000005,60.293040000000005,60.29303,113.87449,113.87449,113.87449,0.0,0.0
0.0012,0.10142000000000001,0.10142000000000001,0.10142000000000001,0.42844,0.42844,0.42844,1.18259,1.18259,1.18259,2.7795400000000003,2.7795400000000003,2.7795400000000003,6.11816,6.11816,6.11816,10.60078,10.60078,10.60078,11.57747,11.57747,11.57747,10.47557,10.47557,10.47557,10.31748,10.31748,10.31748,60.293040000000005,60.293040000000005,60.29303,113.87448,113.87449,113.87448,1e-05,0.0
0.0017,0.10142000000000001,0.10142000000000001,0.10142000000000001,0.42843000000000003,0.42843000000000003,0.42843000000000003,1.18259,1.18259,1.18259,2.7795400000000003,2.7795400000000003,2.7795400000000003,6.11816,6.11816,6.11816,10.60078,10.60078,10.60078,11.57747,11.57747,11.57747,10.47557,10.47557,10.47557,10.31748,10.31748,10.31748,60.293040000000005,60.293040000000005,60.29303,113.87448,113.87448,113.87448,0.0,0.0
0.0024,0.10142000000000001,0.10142000000000001,0.10142000000000001,0.42843000000000003,0.42843000000000003,0.42843000000000003,1.18259,1.18259,1.18259,2.7795400000000003,2.7795400000000003,2.7795400000000003,6.11816,6.11816,6.11816,10.60078,10.60078,10.60078,11.57747,11.57747,11.57747,10.47557,10.47557,10.47557,10.31748,10.31748,10.31748,60.293040000000005,60.293040000000005,60.29303,113.87447,113.87447,113.87447,0.0,0.0
0.0034,0.10141,0.10141,0.10141,0.42843000000000003,0.42843000000000003,0.42843000000000003,1.18258,1.18259,1.18259,2.7795400000000003,2.7795400000000003,2.7795400000000003,6.11816,6.11816,6.11816,10.60078,10.60078,10.60078,11.57747,11.57747,11.57747,10.47557,10.47557,10.47557,10.31748,10.31748,10.31748,60.293040000000005,60.293040000000005,60.29303,113.87446000000001,113.87446000000001,113.87446000000001,0.0,0.0
0.0048,0.1014,0.1014,0.1014,0.42841999999999997,0.42843000000000003,0.42841999999999997,1.18258,1.18259,1.18259,2.77953,2.7795400000000003,2.7795400000000003,6.11816,6.11816,6.11816,10.60078,10.60078,10.60078,11.57747,11.57747,11.57747,10.47557,10.47557,10.47557,10.31748,10.31748,10.31748,60.293040000000005,60.293040000000005,60.29303,113.87443999999999,113.87445,113.87443999999999,1e-05,0.0
0.0067,0.10138,0.10139,0.10139,0.42841999999999997,0.42841999999999997,0.42841999999999997,1.18258,1.18258,1.18258,2.77953,2.7795400000000003,2.77953,6.11816,6.11816,6.11816,10.60078,10.60078,10.60078,11.57747,11.57747,11.57747,10.47557,10.47557,10.47557,10.31748,10.31748,10.31748,60.293040000000005,60.293040000000005,60.29303,113.87442,113.87443,113.87442,1e-05,0.0
0.0094,0.10136,0.10137,0.10137,0.42841,0.42841,0.42841,1.18258,1.18258,1.18258,2.77953,2.77953,2.77953,6.11816,6.11816,6.11816,10.60078,10.60078,10.60078,11.57747,11.57747,11.57747,10.47557,10.47557,10.47557,10.31748,10.31748,10.31748,60.293040000000005,60.293040000000005,60.29303,113.87438,113.8744,113.87438999999999,2e-05,1e-05
